schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_favorite,away_favorite,over,team_away_current_win_pct,team_home_current_win_pct,team_home_lastseason_win_pct,team_away_lastseason_win_pct,team_home_division,team_away_division,division_game,elo_prob1,elo_prob2,result
2014-10-05,2014,5,0,DEN,41.0,20.0,ARI,DEN,-8.0,47.5,Sports Authority Field at Mile High,0,72.0,8.0,,,1,0,1.0,1.0,0.6666666666666666,0.8125,0.625,AFC West,NFC West,0,0.6304822179999999,0.369517782,1
2004-09-26,2004,3,0,ATL,6.0,3.0,ARI,ATL,-11.0,44.0,Georgia Dome,0,72.0,0.0,,DOME,1,0,0.0,0.0,1.0,0.3125,0.25,NFC South,NFC West,0,0.791790597,0.20820940300000002,1
2006-10-01,2006,4,0,ATL,32.0,10.0,ARI,ATL,-7.5,42.0,Georgia Dome,0,72.0,0.0,,DOME,1,0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.3125,NFC South,NFC West,0,0.7249562420000001,0.275043758,1
2010-09-19,2010,2,0,ATL,41.0,7.0,ARI,ATL,-7.0,43.5,Georgia Dome,0,72.0,0.0,,DOME,1,0,1.0,1.0,0.0,0.5625,0.625,NFC South,NFC West,0,0.566819,0.43318100000000004,1
2012-11-18,2012,11,0,ATL,23.0,19.0,ARI,ATL,-9.5,44.0,Georgia Dome,0,72.0,0.0,,DOME,1,0,0.0,0.4444444444444444,0.8888888888888888,0.625,0.5,NFC South,NFC West,0,0.8349857140000001,0.165014286,1
2014-11-30,2014,13,0,ATL,29.0,18.0,ARI,ARI,-1.5,45.0,Georgia Dome,0,72.0,0.0,,DOME,0,1,1.0,0.8181818181818182,0.36363636363636365,0.25,0.625,NFC South,NFC West,0,0.305184268,0.694815732,1
2016-11-27,2016,12,0,ATL,38.0,19.0,ARI,ATL,-4.0,49.0,Georgia Dome,0,72.0,0.0,,DOME,1,0,1.0,0.4444444444444444,0.6,0.5,0.8125,NFC South,NFC West,0,0.593300821,0.40669917899999997,1
2018-12-16,2018,15,0,ATL,40.0,14.0,ARI,ATL,-10.0,43.5,Mercedes-Benz Superdome,0,72.0,0.0,,DOME,1,0,1.0,0.23076923076923078,0.3076923076923077,0.625,0.5,NFC South,NFC West,0,0.734500681,0.265499319,1
2001-10-14,2001,5,0,CHI,20.0,13.0,ARI,CHI,-7.0,39.5,Soldier Field,0,54.0,11.0,80,,1,0,0.0,0.3333333333333333,0.6666666666666666,0.3125,0.1875,NFC North,NFC West,0,0.795663131,0.20433686899999998,1
2003-11-30,2003,13,0,CHI,28.0,3.0,ARI,CHI,-4.5,36.0,Soldier Field,0,42.0,14.0,52,,1,0,0.0,0.2727272727272727,0.36363636363636365,0.25,0.3125,NFC North,NFC West,0,0.7285422509999999,0.27145774899999997,1
2009-11-08,2009,9,0,CHI,21.0,41.0,ARI,CHI,-3.0,44.5,Soldier Field,0,62.0,7.0,76,,1,0,1.0,0.5714285714285714,0.5714285714285714,0.5625,0.5625,NFC North,NFC West,0,0.542343612,0.45765638799999997,0
2015-09-20,2015,2,0,CHI,23.0,48.0,ARI,ARI,-2.0,46.0,Soldier Field,0,69.0,3.0,,,0,1,1.0,1.0,0.0,0.3125,0.6875,NFC North,NFC West,0,0.377707949,0.6222920510000001,0
2006-01-01,2005,17,0,IND,17.0,13.0,ARI,IND,-6.0,43.5,RCA Dome,0,72.0,0.0,,DOME,1,0,0.0,0.3333333333333333,0.8666666666666667,0.75,0.375,AFC South,NFC West,0,0.910375253,0.08962474699999999,1
2017-09-17,2017,2,0,IND,13.0,16.0,ARI,ARI,-7.5,44.5,Lucas Oil Stadium,0,72.0,0.0,,DOME,0,1,0.0,0.0,0.0,0.5,0.4666666666666667,AFC South,NFC West,0,0.532440834,0.467559166,0
2004-11-07,2004,9,0,MIA,23.0,24.0,ARI,MIA,-3.0,34.5,Sun Life Stadium,0,74.0,8.0,70,,1,0,1.0,0.2857142857142857,0.125,0.625,0.25,AFC East,NFC West,0,0.6961689529999999,0.30383104699999997,0
2016-12-11,2016,14,0,MIA,26.0,23.0,ARI,ARI,-2.0,44.0,Sun Life Stadium,0,75.0,15.0,,,0,1,1.0,0.45454545454545453,0.5833333333333334,0.375,0.8125,AFC East,NFC West,0,0.501959254,0.49804074600000003,1
2008-12-21,2008,16,0,NE,47.0,7.0,ARI,NE,-8.0,41.0,Gillette Stadium,0,27.0,24.0,86,,1,0,1.0,0.5714285714285714,0.6428571428571429,1.0,0.5,AFC East,NFC West,0,0.7588421320000001,0.241157868,1
2012-09-16,2012,2,0,NE,18.0,20.0,ARI,NE,-13.5,47.0,Gillette Stadium,0,71.0,2.0,55,,1,0,0.0,1.0,1.0,0.8125,0.5,AFC East,NFC West,0,0.8202161029999999,0.179783897,0
2002-09-15,2002,2,0,SEA,13.0,24.0,ARI,SEA,-4.0,40.5,CenturyLink Field,0,61.0,7.0,78,,1,0,0.0,0.0,0.0,0.5625,0.4375,NFC West,NFC West,1,0.6751753,0.3248247,0
2003-12-21,2003,16,0,SEA,28.0,10.0,ARI,SEA,-15.5,44.5,CenturyLink Field,0,46.0,6.0,94,,1,0,0.0,0.21428571428571427,0.5714285714285714,0.4375,0.3125,NFC West,NFC West,1,0.8268584940000001,0.17314150600000003,1
2004-12-26,2004,16,0,SEA,24.0,21.0,ARI,SEA,-7.0,44.0,CenturyLink Field,0,44.0,6.0,85,,1,0,1.0,0.35714285714285715,0.5,0.625,0.25,NFC West,NFC West,1,0.72474844,0.27525156,1
2005-09-25,2005,3,0,SEA,37.0,12.0,ARI,SEA,-6.5,42.0,CenturyLink Field,0,56.0,6.0,65,,1,0,1.0,0.0,0.5,0.5625,0.375,NFC West,NFC West,1,0.710839459,0.289160541,1
2006-09-17,2006,2,0,SEA,21.0,10.0,ARI,SEA,-7.0,48.0,CenturyLink Field,0,58.0,9.0,66,,1,0,0.0,1.0,1.0,0.8125,0.3125,NFC West,NFC West,1,0.804956164,0.19504383600000003,1
2007-12-09,2007,14,0,SEA,42.0,21.0,ARI,SEA,-7.5,44.5,CenturyLink Field,0,33.0,4.0,72,,1,0,1.0,0.5,0.6666666666666666,0.5625,0.3125,NFC West,NFC West,1,0.711204938,0.288795062,1
2008-11-16,2008,11,0,SEA,20.0,26.0,ARI,ARI,-3.0,48.0,CenturyLink Field,0,48.0,2.0,87,,0,1,0.0,0.6666666666666666,0.2222222222222222,0.625,0.5,NFC West,NFC West,1,0.44063431799999997,0.559365682,0
2009-10-18,2009,6,0,SEA,3.0,27.0,ARI,SEA,-3.0,46.0,CenturyLink Field,0,60.0,10.0,86,,1,0,0.0,0.5,0.4,0.25,0.5625,NFC West,NFC West,1,0.47571103,0.52428897,0
2010-10-24,2010,7,0,SEA,22.0,10.0,ARI,SEA,-6.5,40.5,CenturyLink Field,0,52.0,12.0,,Rain,1,0,0.0,0.6,0.6,0.3125,0.625,NFC West,NFC West,1,0.464565154,0.535434846,1
2011-09-25,2011,3,0,SEA,13.0,10.0,ARI,ARI,-3.0,43.0,CenturyLink Field,0,66.0,20.0,,,0,1,0.0,0.5,0.0,0.4375,0.3125,NFC West,NFC West,1,0.598027604,0.401972396,1
2012-12-09,2012,14,0,SEA,58.0,0.0,ARI,SEA,-10.0,36.0,CenturyLink Field,0,48.0,8.0,82,Rain | Fog,1,0,1.0,0.3333333333333333,0.5833333333333334,0.4375,0.5,NFC West,NFC West,1,0.7809224370000001,0.219077563,1
2013-12-22,2013,16,0,SEA,10.0,17.0,ARI,SEA,-9.0,43.0,CenturyLink Field,0,50.0,6.0,94,Fog,1,0,0.0,0.6428571428571429,0.8571428571428571,0.6875,0.3125,NFC West,NFC West,1,0.8044060820000001,0.195593918,0
2014-11-23,2014,12,0,SEA,19.0,3.0,ARI,SEA,-7.5,41.5,CenturyLink Field,0,57.0,6.0,,,1,0,0.0,0.9,0.6,0.8125,0.625,NFC West,NFC West,1,0.5717957779999999,0.428204222,1
2015-11-15,2015,10,0,SEA,32.0,39.0,ARI,SEA,-3.0,43.5,CenturyLink Field,0,42.0,1.0,,,1,0,1.0,0.75,0.5,0.75,0.6875,NFC West,NFC West,1,0.626796322,0.373203678,0
2016-12-24,2016,16,0,SEA,31.0,34.0,ARI,SEA,-9.0,43.5,CenturyLink Field,0,39.0,2.0,,,1,0,1.0,0.38461538461538464,0.6923076923076923,0.625,0.8125,NFC West,NFC West,1,0.747769173,0.252230827,0
2017-12-31,2017,17,0,SEA,24.0,26.0,ARI,SEA,-8.0,38.0,CenturyLink Field,0,40.0,7.0,,,1,0,1.0,0.4666666666666667,0.6,0.6666666666666666,0.4666666666666667,NFC West,NFC West,1,0.754415257,0.245584743,0
2018-12-30,2018,17,0,SEA,27.0,24.0,ARI,SEA,-14.0,39.5,CenturyLink Field,0,45.0,5.0,,,1,0,1.0,0.2,0.6,0.5625,0.5,NFC West,NFC West,1,0.877146522,0.122853478,1
2001-12-30,2001,16,0,CAR,7.0,30.0,ARI,CAR,-1.0,39.5,Bank of America Stadium,0,36.0,7.0,46,,1,0,0.0,0.42857142857142855,0.07142857142857142,0.4375,0.1875,NFC South,NFC West,0,0.591679312,0.408320688,0
2002-10-06,2002,5,0,CAR,13.0,16.0,ARI,CAR,-5.0,35.0,Bank of America Stadium,0,71.0,7.0,72,,1,0,0.0,0.5,0.75,0.0625,0.4375,NFC South,NFC West,0,0.564817941,0.435182059,0
2004-11-21,2004,11,0,CAR,35.0,10.0,ARI,CAR,-3.0,38.0,Bank of America Stadium,0,61.0,4.0,78,,1,0,1.0,0.4444444444444444,0.2222222222222222,0.6875,0.25,NFC South,NFC West,0,0.66802253,0.33197747,1
2008-10-26,2008,8,0,CAR,27.0,23.0,ARI,CAR,-5.5,43.0,Bank of America Stadium,0,54.0,4.0,71,,1,0,1.0,0.6666666666666666,0.7142857142857143,0.4375,0.5,NFC South,NFC West,0,0.583884191,0.416115809,1
